SGWS of Missouri,,,,,,,
,,,,,,,
UNIT,,,,,UNIT,ORDER,
SG ITEM #,PK / SZ,CS/PALLET,PRODUCT DESCRIPTION,COST,WEIGHT,QUANTITY,
,,,,,,,
503654,12/750ML,56 cs/pl,FITVINE CABERNET SAUVIGNON,86,38.4,112,CS
523741,12/750ML,40 cs/pl,FITVINE ROSE 20,104,39,10,CS
535083,12/750ML,40 cs/pl,FITVINE AST(CAB SAUV/CHARD)12P,86,38.4,80,CS
934628,12/750ML,40 cs/pl,FITVINE PROSECCO,104,40.8,10,CS
951414,12/750ML,56 cs/pl,FITVINE PINOT GRIGIO,86,38.4,28,CS
951415,12/750ML,56 cs/pl,FITVINE SAUVIGNON BLANC,86,38.4,28,CS
953931,12/750ML,56 cs/pl,FITVINE PINOT NOIR,104,38.4,28,CS
956890,12/750ML,56 cs/pl,FITVINE CHARDONNAY,86,38.4,42,CS
